Admurai		Absol		Alola-Geowaz		Aalabyss
Alola-Raichu		Alola-Digdri		Alola-Rattikarl		Ariados
Alola-Snobilikat		Amagarga		Alola-Sandamer		Banette
Amigento		Amoroso		Alpollo		Bibor
Arktilas		Armaldo		Altaria		Bollterus
Baldorfish		Bissbark		Ampharos		Brimano
Barschuft		Blubella		Amphizel		Botogel
Bidifas		Bojelin		Arbok		Britzigel
Chelterrar		Brockoloss		Camerupt		Burmadame-Sandy
Colossand		Calamanero		Choreogel-Pa'u		Burmadame
Dodri		Castellith		Coiffwaff		Burmadame-Trash
Fasasnob		Chevrumm		Cottomi		Corasonn
Flunschlik		Choreogel-Pom-Pom		Damhirplex		Dartignis
Forstellka		Choreogel		Dedenne		Dummisel
Galar-Flunschlik		Choreogel-Sensu		Ditto		Elektek
Galar-Gallopa		Deponitox		Drifzepeli		Enekoro
Galar-Smogmog		Digdri		Duflor		Firnontor
Gallopa		Dressella		Efoserp		Formeo
Gastrodon		Flamara		Emolga		Girafarig
Granbull		Fletiamo		Entoron		Golking
Hundemon		Folipurba		Farbeagle		Honweisel
Jiutesto		Frigometri		Flunkifer		Ibitak
Kabutops		Frosdedje		Furnifraß		Jugong
Kamalm		Galar-Pantimos		Galar-Geradaks		Kinoso
Kangama		Gelatwino		Gaunux		Kukmarda
Kapoera		Glaziola		Geowaz		Ledian
Koalelu		Glurak		Groink		Liebiskus
Lanturn		Grillchita		Hypno		Lumineon
Maskeregen		Humanolith		Igastarnish		Lunastein
Mauzinger		Illumise		Kickerlo		Magcargo
Nockchan		Jungglut		Kliklak		Magnayen
Oghnatoll		Kadabra		Knuddeluff		Maracamba
Ohrdoch		Kappalores		Kommandutan		Meganie
Pantifrost		Karippas		Lektrobal		Minun
Piepi		Kastadur		Lepumentas		Mogelbaum
Pumpdjinn		Kecleon		Magmar		Noktuska
Pyroleo		Kleoparda		Mampfaxo		Octillery
Quappo		Knarksel		Manguspektor		Pachirisu
Raichu		Knogga		Maschock		Pandir
Rameidon		Kokowei		Metang		Papinella
Rasaff		Kronjuwild		Morbitesse		Parasek
Regirock		Kryppuk		Moterpel		Phione
Rizeros		Lamellux		Muntier		Plusle
Rotom-Frost		Lapras		Ninjask		Porenta
Sanaconda		Legios		Ninjatom		Porygon
Schlaraffel		Lusardin		Noctuh		Psiaugon-F
Schlurplek		Luxtra		Palimpalim		Pudox
Sengo		Mantidea		Panpyro		Rocara
Shardrago		Maritellit		Papungha		Schlapor
Sniebel		Matrifol		Pelipper		Shnurgarst
Strepoli		Megalon		Pliprin		Sonnfel
Thanathora		Meteno		Pottrott		Sonnflora
Togedemaru		Mitodos		Psiaugon		Tauboss
Trombork		Montecarbo		Qurtel		Tropius
Turtok		Morlord		Regigigas		Venuflibis
Ursaring		Morpeko		Relicanth		Vipitis
Wolwerock-Nacht		Pantimos		Rexblisar		Welsar
Wolwerock-Tag		Pikachu		Saganabyss		Wiesenior
Zapplarang		Pinsir		Sandamer		Woingenau
		Quaxo		Schlukwech		Zirpeise
		Rattikarl		Siberio		Zwottronin
		Regice		Skallyk		Wagong
		Roselia		Skuntank		Waaty
		Rossana		Sleimok		Vibrava
		Rotom		Snobilikat		Akkup
		Rotom-Fan		Swaroness		Alola-Georok
		Sarzenia		Tortunator		Bisaknosp
		Servol		Traunfugil		Blanas
		Servol-F		Urgl		Chelcarain
		Sharfax		Vegichita		Chimstix
		Smogmog		Viscargot		Cosmovum
		Sodachita		Voluminas		Dartignis
		Stolloss		Wailord		Dragonir
		Tengulist		Walraisa		Draschel
		Togetic		Zapplalek		Duodino
		Traunmagil		Zebritz		Ferkokel
		Tukanon		Zwirrklop		Floette
		Volbeat				Folikon
		Voltenso				Frubaila
		Vulnona				Gelatroppo
		Wielie				Georok
		Zwirrfinst				Glutexo
		Zwollock				Hubelupf
						Hypnomorba
						Igelavar
						Keradar
						Kirlia
						Kokuna
						Krakeelo
						Kranoviz
						Laternecto
						Lombrero
						Lorblatt
						Luxio
						Marikeck
						Marill
						Mebrana
						Mediras
						Miezunder
						Moorabbel
						Navitaub
						Nidorina
						Nidorino
						Panekon
						Pelzebub
						Phandra
						Phlegleon
						Pummeluff
						Pupitar
						Quaputzi
						Reptain
						Rokkaiman
						Rollum
						Rutena
						Safcon
						Schaloko
						Schillok
						Sedimantur
						Seejong
						Seemon
						Staravia
						Stollrak
						Tauboga
						Terribark
						Tyracroc
						Ultrigaria
